dtype,method,repeat,size,block_size,input_scale,scaled_result,result,fp64_reference,reference_basis,absolute_error,relative_error,elapsed_ms,status,reason
bfloat16,blocked,2,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.0016660020919517,ok,
bfloat16,blocked,3,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.050332990824245,ok,
bfloat16,blocked,4,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.101541005889885,ok,
bfloat16,blocked,5,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,2.9915829945821315,ok,
bfloat16,blocked,6,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.034499997738749,ok,
bfloat16,blocked,7,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.105833995505236,ok,
bfloat16,blocked,8,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.1148330017458647,ok,
bfloat16,blocked,9,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.1094580044737086,ok,
bfloat16,blocked,10,4096,128,0.0067644241528043705,1856.0,274376.644349031,277241.1193390583,dtype_quantized_input,2864.4749900273164,0.010332071219652458,3.0041249992791563,ok,
bfloat16,random,1,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.100667003309354,ok,
bfloat16,random,2,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.1419169972650707,ok,
bfloat16,random,3,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.094125000643544,ok,
bfloat16,random,4,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.1752499926369637,ok,
bfloat16,random,5,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.1978749902918935,ok,
bfloat16,random,6,4096,,0.0067644241528043705,1800.0,266098.03870056884,277241.1193390583,dtype_quantized_input,11143.080638489453,0.040192741484576716,3.153582991217263,ok,
